,Unnamed: 0,artist,title,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,popularity,top year,hip_hop,other,pop,rap,rock,group,solo
179,226,Drake,Take Care,122,52,63,-10,9,30,277,3,27,81,2012,1,0,0,0,0,0,1
180,228,Ellie Goulding,Lights - Single Version,120,80,68,-6,13,78,211,3,4,68,2012,0,0,1,0,0,0,1
181,229,Flo Rida,Good Feeling,128,89,71,-4,31,68,248,6,7,81,2012,0,0,1,0,0,0,1
182,230,Florence + The Machine,Spectrum (Say My Name) - Calvin Harris Remix,126,95,58,-4,10,59,218,0,5,59,2012,0,0,1,0,0,1,0
183,231,Frank Ocean,Lost,123,60,91,-5,17,50,234,3,23,91,2012,0,1,0,0,0,0,1
184,232,Frank Ocean,Thinkin Bout You,130,34,72,-11,10,20,201,41,5,81,2012,0,1,0,0,0,0,1
185,234,fun.,Some Nights,108,74,67,-7,9,39,277,2,5,76,2012,0,0,1,0,0,1,0
186,235,Gotye,Somebody That I Used To Know,129,50,86,-7,10,72,245,59,4,81,2012,0,0,1,0,0,0,1
187,237,Gym Class Heroes,Ass Back Home (feat. Neon Hitch),130,84,72,-4,15,65,222,13,5,67,2012,0,0,1,0,0,1,0
188,239,Imagine Dragons,It's Time,105,88,66,-5,14,86,238,2,4,72,2012,0,0,0,0,1,1,0
189,240,Imagine Dragons,On Top Of The World,100,93,64,-6,9,76,190,9,15,72,2012,0,0,0,0,1,1,0
190,241,JAY-Z,Ni**as In Paris,140,86,79,-6,35,78,219,13,31,88,2012,1,0,0,0,0,0,1
191,242,Justin Bieber,Boyfriend,97,55,72,-6,13,33,171,4,5,68,2012,0,0,1,0,0,0,1
192,244,Karmin,Brokenhearted,120,77,77,-3,5,89,227,1,6,70,2012,0,0,1,0,0,1,0
193,245,Katy Perry,The One That Got Away,134,79,69,-4,20,86,227,0,4,78,2012,0,0,1,0,0,0,1
194,246,Katy Perry,Part Of Me,130,92,68,-5,7,77,216,0,4,78,2012,0,0,1,0,0,0,1
195,247,Kendrick Lamar,Swimming Pools (Drank) - Extended Version,74,49,72,-8,60,26,314,12,40,76,2012,1,0,0,0,0,0,1
196,248,Kendrick Lamar,m.A.A.d city,91,73,49,-7,44,22,350,5,27,73,2012,1,0,0,0,0,0,1
197,249,Kesha,Die Young,128,70,71,-5,22,80,212,0,5,83,2012,0,0,1,0,0,0,1
198,250,Kesha,C'Mon,126,78,56,-5,10,29,214,1,10,67,2012,0,0,1,0,0,0,1
199,251,Lana Del Rey,Ride,94,69,37,-6,38,19,289,13,3,64,2012,0,0,1,0,0,0,1
200,252,Lana Del Rey,Video Games,122,25,39,-10,9,18,282,81,3,63,2012,0,0,1,0,0,0,1
201,253,Lana Del Rey,Born To Die,86,63,39,-7,20,40,286,20,4,62,2012,0,0,1,0,0,0,1
202,255,LMFAO,Sexy And I Know It,130,86,71,-4,19,80,199,10,32,68,2012,0,0,1,0,0,1,0
203,256,Lupe Fiasco,Battle Scars (with Guy Sebastian),168,81,52,-5,11,49,250,19,29,74,2012,0,0,0,1,0,0,1
204,257,MARINA,Primadonna,128,69,66,-3,9,43,221,9,3,84,2012,0,0,1,0,0,0,1
205,258,MARINA,How to Be a Heartbreaker,140,90,69,-5,11,85,221,1,5,77,2012,0,0,1,0,0,0,1
206,259,Maroon 5,One More Night,93,82,72,-3,8,61,219,4,3,74,2012,0,0,1,0,0,1,0
207,260,Maroon 5,Payphone,110,76,74,-5,37,52,231,1,4,69,2012,0,0,1,0,0,1,0
208,264,Nicki Minaj,Starships,125,72,75,-2,25,75,211,14,8,78,2012,0,0,1,0,0,0,1
209,265,Nicki Minaj,Pound The Alarm,125,86,73,-4,2,59,206,4,6,69,2012,0,0,1,0,0,0,1
210,266,Of Monsters and Men,Dirty Paws,112,65,36,-7,6,13,278,11,3,74,2012,0,0,1,0,0,1,0
211,267,Olly Murs,Troublemaker (feat. Flo Rida),106,86,76,-4,13,97,186,2,6,80,2012,0,0,1,0,0,0,1
212,268,One Direction,What Makes You Beautiful,125,79,73,-2,6,89,200,1,7,88,2012,0,1,0,0,0,1,0
213,269,One Direction,Live While We're Young,126,86,66,-2,14,93,200,5,5,79,2012,0,1,0,0,0,1,0
214,270,Otto Knows,Million Voices - Radio Edit,126,89,58,-6,7,7,193,0,4,75,2012,0,1,0,0,0,0,1
215,272,P!nk,Blow Me (One Last Kiss),114,92,60,-3,28,73,256,0,4,71,2012,0,0,1,0,0,0,1
216,273,Passion Pit,Take a Walk,101,76,57,-6,32,45,264,3,4,74,2012,0,1,0,0,0,1,0
217,274,Phillip Phillips,"Gone, Gone, Gone",118,64,66,-6,11,50,210,13,4,76,2012,0,0,1,0,0,0,1
218,275,Phillip Phillips,Home,121,83,61,-6,12,32,210,3,3,73,2012,0,0,1,0,0,0,1
219,276,PSY,Gangnam Style (강남스타일),132,94,73,-3,9,75,219,0,29,77,2012,0,0,1,0,0,0,1
220,277,Rihanna,We Found Love,128,77,74,-4,11,60,215,3,4,80,2012,0,0,1,0,0,0,1
221,278,Rihanna,Where Have You Been,128,85,72,-6,22,44,243,0,9,76,2012,0,0,1,0,0,0,1
222,280,Rizzle Kicks,Mama Do The Hump,98,89,72,-4,7,56,216,1,13,61,2012,1,0,0,0,0,1,0
223,281,Robbie Williams,Candy,116,79,72,-7,7,88,201,4,4,73,2012,0,0,1,0,0,0,1
224,282,Rudimental,Feel the Love (feat. John Newman),180,71,39,-7,69,24,245,0,6,52,2012,0,0,1,0,0,1,0
225,283,ScHoolboy Q,Hands on the Wheel (feat. Asap Rocky),128,78,65,-7,7,18,197,2,11,67,2012,0,0,0,1,0,0,1
